sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
SignInSuccess,3,144,90,242,69.41661664664065,0.0,0.19094901661256444,0.23868627076570556,1280.0
SignInBadPassword,3,143,78,193,48.348273552998336,0.0,0.19029495718363462,0.20274589676498572,1091.0
SignInBadUsername,3,94,61,114,23.69716344956832,0.0,0.18994554894263646,0.2023736268519691,1091.0
SignupUserAlreadyExist,3,103,40,167,51.852354494918224,0.0,0.19023462270133165,0.19097772669625873,1028.0
SignupSuccess,3,82,41,130,36.669696844488186,0.0,0.19188947166432135,0.19395078434821542,1035.0
Home Page,3,35,19,43,11.313708498984761,0.0,0.1926163723916533,0.1233948635634029,656.0
Login,3,74,29,115,35.26408308116853,0.0,0.19285163281049114,0.20094989473515043,1067.0
Signup,3,64,52,87,16.0485374896143,0.0,0.19326161180184243,0.1904306311602139,1009.0
TOTAL,24,92,19,242,53.9721507405028,0.0,1.4823049842505094,1.4940664373726145,1032.125
